x,y,z
-0.049,0.016,1.072
-0.048,0.020,1.083
-0.027,0.021,1.046
-0.028,-0.031,0.986
-0.053,-0.108,0.928
-0.029,-0.111,0.889
-0.035,0.004,1.102
-0.047,-0.022,1.104
-0.043,-0.067,1.000
-0.035,-0.139,0.973
-0.036,-0.122,1.010
-0.047,-0.134,1.031
0.132,0.148,1.059
-0.036,-0.198,0.905
-0.034,-0.293,0.871
-0.050,-0.324,0.970
-0.065,-0.294,0.962
-0.050,-0.294,0.977
-0.059,-0.446,0.854
-0.051,-0.395,0.875
-0.062,-0.409,0.922
-0.103,-0.394,0.943
-0.060,-0.464,0.955
-0.036,-0.463,0.889
-0.061,-0.556,0.766
-0.067,-0.527,0.873
-0.058,-0.669,0.701
-0.067,-0.584,0.828
-0.067,-0.594,0.791
-0.057,-0.645,0.717
-0.088,-0.696,0.704
-0.094,-0.603,0.819
-0.070,-0.658,0.746
-0.067,-0.658,0.762
-0.067,-0.747,0.616
-0.066,-0.727,0.681
-0.066,-0.752,0.654
-0.078,-0.759,0.637
-0.073,-0.770,0.622
-0.078,-0.746,0.668
-0.062,-0.852,0.483
-0.065,-0.806,0.571
-0.073,-0.933,0.368
-0.071,-0.875,0.458
-0.069,-0.860,0.466
-0.071,-0.903,0.385
-0.071,-0.921,0.345
-0.071,-0.916,0.322
-0.066,-0.951,0.243
-0.073,-1.038,0.081
-0.071,-0.970,0.197
-0.077,-0.942,0.220
-0.073,-1.013,0.088
-0.072,-0.961,0.169
-0.073,-0.982,0.104
-0.083,-1.017,0.041
-0.069,-0.992,0.090
-0.072,-0.982,0.094
-0.071,-0.985,0.102
-0.066,-0.986,0.099
-0.074,-0.985,0.101
-0.074,-0.986,0.096
-0.072,-0.987,0.094
-0.074,-0.987,0.095
-0.071,-0.985,0.096
-0.074,-0.989,0.088
-0.071,-0.984,0.097
-0.071,-0.989,0.095
-0.071,-0.977,0.119
-0.075,-0.986,0.095
-0.067,-0.985,0.100
-0.072,-0.981,0.065
-0.048,-1.006,0.142
-0.074,-0.979,0.132
-0.070,-0.986,0.104
-0.071,-0.987,0.085
-0.082,-0.986,0.078
-0.079,-0.978,0.086
-0.074,-0.991,0.082
-0.081,-0.982,0.104
-0.067,-0.979,0.104
-0.071,-0.985,0.099
-0.071,-0.999,0.090
-0.070,-0.987,0.091
-0.071,-0.977,0.101
-0.070,-0.995,0.110
-0.069,-0.989,0.106
-0.073,-0.991,0.089
-0.071,-0.985,0.090
-0.078,-0.986,0.103
-0.069,-0.988,0.089
-0.072,-0.991,0.091
-0.074,-0.983,0.107
-0.072,-0.985,0.116
-0.068,-0.988,0.066
-0.079,-0.984,0.104
-0.072,-0.987,0.097
-0.064,-0.979,0.124
-0.080,-0.993,0.085
-0.066,-0.982,0.098
-0.075,-0.990,-0.023
-0.065,-0.981,0.049
-0.073,-0.997,0.038
-0.066,-0.969,0.059
-0.074,-0.994,0.083
-0.069,-0.984,0.089
-0.074,-0.987,0.094
-0.069,-0.984,0.095
-0.074,-0.987,0.088
-0.071,-0.986,0.095
-0.072,-0.990,0.087
-0.068,-0.983,0.092
-0.072,-0.981,0.108
-0.069,-0.985,0.096
-0.075,-0.999,0.110
-0.069,-0.977,0.101
-0.068,-0.999,0.064
-0.070,-0.983,0.092
-0.069,-0.989,0.035
-0.067,-0.989,0.047
-0.068,-0.989,0.089
-0.075,-0.988,0.113
-0.065,-0.988,0.051
-0.069,-0.970,0.100
-0.069,-0.983,0.074
-0.069,-0.977,0.076
-0.080,-0.996,0.040
-0.070,-0.950,0.136
-0.075,-0.982,0.097
-0.070,-0.997,0.041
-0.076,-0.982,0.062
-0.071,-0.984,0.078
-0.073,-0.979,0.054
-0.075,-0.990,-0.038
-0.073,-0.988,-0.045
-0.069,-0.988,-0.112
-0.071,-0.986,-0.099
-0.073,-0.997,-0.128
-0.069,-0.977,-0.035
-0.076,-0.991,-0.127
-0.071,-0.975,-0.113
-0.071,-0.981,-0.151
-0.068,-0.978,-0.150
-0.073,-0.970,-0.166
-0.069,-0.964,-0.249
-0.070,-0.963,-0.263
-0.067,-0.955,-0.276
-0.072,-0.953,-0.286
-0.069,-0.946,-0.262
-0.067,-0.943,-0.305
-0.067,-0.932,-0.306
-0.068,-0.927,-0.352
-0.074,-0.933,-0.354
-0.066,-0.906,-0.381
-0.066,-0.896,-0.355
0.004,-0.925,-0.462
0.145,-1.043,-0.550
-0.128,-0.842,-0.516
-0.047,-0.817,-0.527
-0.062,-0.822,-0.584
-0.035,-0.792,-0.565
-0.062,-0.794,-0.578
-0.056,-0.778,-0.604
-0.074,-0.778,-0.644
-0.049,-0.741,-0.642
-0.041,-0.712,-0.639
-0.032,-0.676,-0.763
-0.056,-0.688,-0.714
-0.050,-0.666,-0.758
-0.048,-0.650,-0.762
-0.042,-0.620,-0.694
-0.056,-0.635,-0.830
-0.055,-0.608,-0.837
-0.047,-0.586,-0.853
-0.044,-0.563,-0.814
-0.046,-0.555,-0.837
